customer_id,first_visit_date,first_purchase_date,cohort_month,user_type_flag,user_type_label,lifetime_sessions,lifetime_revenue,avg_order_value
1000,2024-04-27,2024-04-27,2024-04,0,New,2,1228.72,614.36
1001,2024-12-21,,2024-12,0,New,1,0.0,0.0
1002,2024-03-28,,2024-03,1,Returning,3,0.0,0.0
1003,2024-10-03,2024-10-03,2024-10,1,Returning,3,1681.96,560.65
1004,2024-05-02,,2024-05,0,New,3,0.0,0.0
1005,2024-03-23,,2024-03,0,New,3,0.0,0.0
1006,2024-01-13,,2024-01,1,Returning,2,0.0,0.0
1007,2024-08-13,,2024-08,1,Returning,1,0.0,0.0
1008,2024-01-19,2024-11-12,2024-01,1,Returning,5,1546.42,309.28
1009,2024-05-17,2024-05-17,2024-05,1,Returning,5,4616.63,923.33
1011,2024-02-27,,2024-02,1,Returning,4,0.0,0.0
1012,2024-01-08,,2024-01,1,Returning,3,0.0,0.0
1013,2024-01-31,,2024-01,1,Returning,2,0.0,0.0
1014,2024-02-17,2024-02-17,2024-02,1,Returning,4,2423.92,605.98
1015,2024-02-18,,2024-02,0,New,1,0.0,0.0
1016,2024-11-14,,2024-11,0,New,1,0.0,0.0
1017,2024-03-01,,2024-03,0,New,2,0.0,0.0
1018,2024-05-09,,2024-05,1,Returning,1,0.0,0.0
1019,2024-05-31,,2024-05,0,New,1,0.0,0.0
1020,2024-01-01,,2024-01,1,Returning,4,0.0,0.0
1021,2024-04-15,,2024-04,1,Returning,5,0.0,0.0
1022,2024-12-19,,2024-12,0,New,1,0.0,0.0
1023,2024-02-02,,2024-02,1,Returning,2,0.0,0.0
1024,2024-01-29,,2024-01,1,Returning,2,0.0,0.0
1025,2024-10-19,,2024-10,1,Returning,2,0.0,0.0
1026,2024-01-16,2024-01-16,2024-01,1,Returning,3,244.3,81.43
1027,2024-06-21,,2024-06,1,Returning,4,0.0,0.0
1028,2024-02-09,2024-08-15,2024-02,1,Returning,5,2328.44,465.69
1029,2024-07-29,2024-07-29,2024-07,0,New,1,357.02,357.02
1030,2024-02-15,,2024-02,1,Returning,3,0.0,0.0
1031,2024-03-12,2024-03-12,2024-03,1,Returning,4,2231.42,557.86
1032,2024-08-04,,2024-08,1,Returning,4,0.0,0.0
1033,2024-01-20,2024-02-02,2024-01,1,Returning,5,571.06,114.21
1034,2024-12-11,,2024-12,1,Returning,1,0.0,0.0
1035,2024-01-19,2024-08-16,2024-01,1,Returning,4,325.77,81.44
1036,2024-04-02,2024-11-10,2024-04,1,Returning,3,395.17,131.72
1037,2024-01-26,,2024-01,1,Returning,4,0.0,0.0
1038,2024-04-06,2024-11-09,2024-04,1,Returning,4,4503.98,1125.99
1039,2024-02-25,2024-02-25,2024-02,1,Returning,4,1852.98,463.24
1040,2024-03-23,2024-03-23,2024-03,1,Returning,5,7417.69,1483.54
1041,2024-05-09,2024-09-01,2024-05,1,Returning,2,1296.48,648.24
1042,2024-03-19,2024-05-17,2024-03,1,Returning,5,4330.68,866.14
1043,2024-10-26,,2024-10,1,Returning,1,0.0,0.0
1044,2024-01-13,2024-08-28,2024-01,1,Returning,7,1008.62,144.09
1045,2024-09-01,,2024-09,1,Returning,2,0.0,0.0
1046,2024-02-20,,2024-02,1,Returning,3,0.0,0.0
1047,2024-03-17,2024-08-27,2024-03,1,Returning,5,922.92,184.58
1048,2024-03-04,,2024-03,1,Returning,3,0.0,0.0
1049,2024-01-21,,2024-01,1,Returning,4,0.0,0.0
1050,2024-07-28,,2024-07,0,New,3,0.0,0.0
1051,2024-02-01,,2024-02,1,Returning,3,0.0,0.0
1052,2024-02-08,,2024-02,1,Returning,6,0.0,0.0
1053,2024-05-30,,2024-05,1,Returning,1,0.0,0.0
1054,2024-01-11,2024-06-30,2024-01,1,Returning,5,2322.16,464.43
1055,2024-04-04,,2024-04,1,Returning,2,0.0,0.0
1056,2024-10-13,2024-10-13,2024-10,1,Returning,1,345.71,345.71
1057,2024-02-03,,2024-02,1,Returning,4,0.0,0.0
1058,2024-01-20,2024-02-10,2024-01,1,Returning,3,6257.73,2085.91
1059,2024-10-08,,2024-10,0,New,2,0.0,0.0
1060,2024-08-15,,2024-08,1,Returning,1,0.0,0.0
1061,2024-09-18,,2024-09,1,Returning,2,0.0,0.0
1062,2024-03-22,2024-03-22,2024-03,1,Returning,3,5304.35,1768.12
1063,2024-03-20,,2024-03,1,Returning,3,0.0,0.0
1064,2024-08-17,,2024-08,0,New,1,0.0,0.0
1065,2024-05-22,2024-05-22,2024-05,0,New,1,7889.36,7889.36
1066,2024-01-02,2024-08-11,2024-01,1,Returning,4,3654.18,913.54
1067,2024-03-14,2024-09-03,2024-03,1,Returning,4,2032.07,508.02
1068,2024-07-01,,2024-07,1,Returning,2,0.0,0.0
1069,2024-05-14,,2024-05,1,Returning,3,0.0,0.0
1070,2024-03-20,,2024-03,1,Returning,3,0.0,0.0
1071,2024-03-18,2024-08-21,2024-03,1,Returning,5,1331.9,266.38
1072,2024-04-06,,2024-04,0,New,1,0.0,0.0
1073,2024-05-30,,2024-05,1,Returning,2,0.0,0.0
1074,2024-12-09,,2024-12,1,Returning,1,0.0,0.0
1075,2024-02-01,,2024-02,0,New,2,0.0,0.0
1076,2024-01-24,2024-01-24,2024-01,1,Returning,4,1449.62,362.4
1077,2024-02-08,2024-10-03,2024-02,1,Returning,3,1959.6,653.2
1078,2024-02-25,2024-05-30,2024-02,1,Returning,2,490.0,245.0
1079,2024-03-14,2024-09-15,2024-03,1,Returning,4,4252.77,1063.19
1080,2024-01-16,2024-08-29,2024-01,1,Returning,4,2111.96,527.99
1081,2024-02-27,,2024-02,1,Returning,1,0.0,0.0
1082,2024-04-15,2024-05-20,2024-04,1,Returning,3,1601.42,533.81
1083,2024-07-05,2024-07-18,2024-07,0,New,4,1056.76,264.19
1084,2024-01-11,2024-01-11,2024-01,1,Returning,3,3648.04,1216.01
1086,2024-01-27,2024-01-27,2024-01,1,Returning,3,1236.24,412.08
1087,2024-05-27,2024-05-27,2024-05,1,Returning,3,222.61,74.2
1088,2024-02-23,,2024-02,0,New,1,0.0,0.0
1089,2024-06-02,2024-06-02,2024-06,1,Returning,3,2169.46,723.15
1090,2024-03-15,2024-05-29,2024-03,1,Returning,7,3331.6,475.94
