session_id,date_key,visit_date,customer_id,product_id,marketing_channel_id,device_type_id,location_id,pages_viewed,time_on_site_sec,cart_flag,order_flag,abandon_flag,quantity,unit_price,discount_amount,discount_percent,revenue,session_duration_bucket,user_type,session_count
0,20241128,2024-11-28,1803,894,2,2,209,21,965,1,0,1,1,651.57,130.31,20,0.0,Long,1,1
1,20240925,2024-09-25,7964,844,4,2,213,21,1158,0,0,0,4,945.27,567.16,15,0.0,Long,0,1
2,20240531,2024-05-31,6890,865,0,1,10,19,710,1,0,1,4,400.44,0.0,0,0.0,Short,1,1
3,20240130,2024-01-30,4949,851,2,1,46,19,1674,1,1,0,2,1268.54,126.85,5,2410.23,Very Long,0,1
4,20240225,2024-02-25,4896,794,5,1,118,13,427,1,0,1,3,880.81,0.0,0,0.0,Very Short,1,1
5,20240329,2024-03-29,8726,481,4,1,207,6,949,1,0,1,2,458.42,91.68,10,0.0,Long,0,1
6,20240528,2024-05-28,1773,634,1,0,175,15,1608,1,1,0,4,623.83,0.0,0,2495.32,Very Long,1,1
7,20241119,2024-11-19,7275,225,4,1,150,24,1169,0,0,0,3,1491.56,671.2,15,0.0,Long,0,1
8,20240213,2024-02-13,2813,628,3,1,141,18,285,1,0,1,2,791.88,0.0,0,0.0,Very Short,1,1
9,20240729,2024-07-29,1847,664,4,1,103,6,476,1,0,1,4,164.42,65.77,10,0.0,Short,0,1
10,20240506,2024-05-06,5737,386,2,0,84,8,1557,0,0,0,4,318.62,127.45,10,0.0,Very Long,1,1
11,20240118,2024-01-18,9779,594,0,0,145,24,1724,1,0,1,2,103.54,41.42,20,0.0,Very Long,1,1
12,20240814,2024-08-14,7621,379,4,1,169,4,309,0,0,0,4,373.33,74.67,5,0.0,Very Short,0,1
13,20240914,2024-09-14,7849,786,5,0,155,5,1273,0,0,0,1,682.23,68.22,10,0.0,Long,0,1
14,20241216,2024-12-16,7456,175,0,0,167,5,1462,0,0,0,2,837.89,418.94,25,0.0,Very Long,1,1
15,20240703,2024-07-03,8073,766,3,1,135,16,143,0,0,0,2,1151.07,345.32,15,0.0,Very Short,1,1
16,20240428,2024-04-28,5618,691,2,1,85,10,180,1,0,1,1,693.68,0.0,0,0.0,Very Short,1,1
17,20241107,2024-11-07,2152,250,3,0,51,19,1019,1,0,1,4,481.83,0.0,0,0.0,Long,0,1
18,20240331,2024-03-31,8556,145,1,0,25,1,200,1,0,1,1,687.69,0.0,0,0.0,Very Short,1,1
19,20240906,2024-09-06,5053,525,0,1,194,18,1168,0,0,0,3,806.73,0.0,0,0.0,Long,0,1
20,20241210,2024-12-10,5502,842,4,2,155,21,1781,1,0,1,4,1374.55,824.73,15,0.0,Very Long,0,1
21,20240102,2024-01-02,4336,394,4,1,197,18,720,1,0,1,4,361.79,0.0,0,0.0,Short,1,1
22,20241203,2024-12-03,2642,237,5,1,145,17,1526,1,0,1,1,557.98,83.7,15,0.0,Very Long,1,1
23,20240316,2024-03-16,9339,835,2,0,88,22,943,1,1,0,1,799.51,79.95,10,719.56,Long,0,1
24,20240624,2024-06-24,8033,567,2,1,40,9,26,1,0,1,2,853.62,341.45,20,0.0,Very Short,1,1
25,20240404,2024-04-04,6794,367,4,1,135,8,1454,1,1,0,1,667.9,33.4,5,634.5,Very Long,0,1
26,20240222,2024-02-22,4621,376,3,1,136,9,1105,1,0,1,2,927.81,371.12,20,0.0,Long,0,1
27,20240913,2024-09-13,8404,57,0,1,36,7,604,0,0,0,3,161.8,48.54,10,0.0,Short,1,1
28,20240624,2024-06-24,5908,750,3,0,62,11,1396,1,0,1,4,1159.83,0.0,0,0.0,Very Long,1,1
29,20240704,2024-07-04,4990,440,1,0,215,1,1503,1,0,1,1,1014.28,0.0,0,0.0,Very Long,1,1
30,20240625,2024-06-25,5053,722,5,1,31,12,169,1,0,1,4,511.8,204.72,10,0.0,Very Short,1,1
31,20240929,2024-09-29,3044,207,1,0,20,16,526,1,0,1,2,180.12,72.05,20,0.0,Short,0,1
32,20241218,2024-12-18,1829,72,1,1,104,10,610,1,1,0,4,437.0,349.6,20,1398.4,Short,0,1
33,20240706,2024-07-06,5990,9,2,1,120,12,689,0,0,0,4,560.82,0.0,0,0.0,Short,1,1
34,20240226,2024-02-26,8990,551,5,0,176,24,121,1,1,0,1,789.99,0.0,0,789.99,Very Short,1,1
35,20240429,2024-04-29,1574,819,5,1,152,10,415,0,0,0,2,837.27,167.45,10,0.0,Very Short,0,1
36,20240630,2024-06-30,8723,657,4,1,33,1,541,1,0,1,2,855.27,256.58,15,0.0,Short,0,1
37,20240207,2024-02-07,8447,604,2,1,106,1,449,1,0,1,3,1140.72,0.0,0,0.0,Very Short,1,1
38,20240324,2024-03-24,3490,462,2,0,196,17,702,1,0,1,3,1434.14,0.0,0,0.0,Short,1,1
39,20240314,2024-03-14,6684,105,2,0,17,19,892,0,0,0,4,1937.8,0.0,0,0.0,Short,0,1
40,20241221,2024-12-21,2486,504,3,0,25,15,1728,1,1,0,1,986.19,0.0,0,986.19,Very Long,1,1
41,20240526,2024-05-26,7822,341,5,0,99,11,583,1,0,1,4,450.96,360.77,20,0.0,Short,1,1
42,20241116,2024-11-16,7304,98,3,1,135,10,1627,1,0,1,4,384.67,76.93,5,0.0,Very Long,0,1
43,20240720,2024-07-20,4190,250,1,0,170,2,769,1,1,0,4,464.23,371.38,20,1485.54,Short,0,1
44,20240703,2024-07-03,1611,621,0,0,32,1,36,1,0,1,1,829.96,165.99,20,0.0,Very Short,1,1
45,20241208,2024-12-08,9735,733,1,2,82,14,1518,0,0,0,3,344.48,310.03,30,0.0,Very Long,1,1
46,20240909,2024-09-09,5010,277,4,0,86,18,819,1,1,0,1,1113.7,55.68,5,1058.02,Short,0,1
47,20240328,2024-03-28,9037,626,4,0,7,8,159,1,1,0,2,601.67,120.33,10,1083.01,Very Short,1,1
48,20240412,2024-04-12,7100,895,3,1,3,1,1736,1,0,1,2,420.59,0.0,0,0.0,Very Long,1,1
49,20240831,2024-08-31,8004,98,1,1,206,20,361,0,0,0,1,1472.25,220.84,15,0.0,Very Short,1,1
50,20240101,2024-01-01,7838,338,1,0,90,18,1257,1,0,1,4,1963.8,785.52,10,0.0,Long,0,1
51,20240225,2024-02-25,2751,5,3,2,111,6,499,1,0,1,3,324.28,97.28,10,0.0,Short,0,1
52,20240128,2024-01-28,4274,149,3,1,15,16,434,0,0,0,4,182.24,0.0,0,0.0,Very Short,0,1
53,20240917,2024-09-17,5200,737,4,0,3,13,930,1,0,1,4,312.41,62.48,5,0.0,Long,1,1
54,20240610,2024-06-10,5479,735,1,0,200,7,168,1,0,1,4,1369.26,1095.41,20,0.0,Very Short,1,1
55,20240105,2024-01-05,1394,838,4,2,210,16,1594,1,0,1,2,488.23,97.65,10,0.0,Very Long,0,1
56,20240927,2024-09-27,5918,561,4,0,92,5,1242,1,1,0,1,625.98,62.6,10,563.38,Long,1,1
57,20240827,2024-08-27,2388,864,3,1,46,20,1307,0,0,0,2,162.17,0.0,0,0.0,Long,0,1
